QSPRID,SMILES,Molecule Name,Set,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro),QSPRID,pIC50 (MERS-CoV Mpro)_original,Split_IsTrain,predicted MERS
MultiTaskTutorialDataset_010,CN1C(=O)c2ccc(Cl)cc2[C@]12CCCN(c1cncc3ccccc13)C2=O,ASAP-0011036,Test,4.34,5.57,MultiTaskTutorialDataset_010,4.34,False,4.998468420693296
MultiTaskTutorialDataset_011,CCNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,ASAP-0011052,Test,6.47,7.73,MultiTaskTutorialDataset_011,6.47,True,5.501014230931832
MultiTaskTutorialDataset_012,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)c1ccc(F)cc12,ASAP-0011059,Test,5.96,7.3,MultiTaskTutorialDataset_012,5.96,True,5.26773857823618
MultiTaskTutorialDataset_013,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NCC1(F)CC1)C(=O)c1ccc(F)cc12,ASAP-0011125,Test,5.55,6.89,MultiTaskTutorialDataset_013,5.55,True,5.30845006915697
MultiTaskTutorialDataset_014,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NC1CCC1)C(=O)c1ccc(Cl)cc12,ASAP-0011185,Test,5.71,7.09,MultiTaskTutorialDataset_014,5.71,True,5.4527296773712735
MultiTaskTutorialDataset_015,CCNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,ASAP-0011343,Test,6.29,7.48,MultiTaskTutorialDataset_015,6.29,True,5.277638325169569
MultiTaskTutorialDataset_016,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2Cn2ccnn2)c2cc(F)ccc2C1=O,ASAP-0011358,Test,5.24,6.27,MultiTaskTutorialDataset_016,5.24,True,5.209068636550951
MultiTaskTutorialDataset_017,CNC(=O)C1(N2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)CC1,ASAP-0011359,Test,6.4,7.57,MultiTaskTutorialDataset_017,6.4,True,5.135036714249038
MultiTaskTutorialDataset_018,CC1CCC2(CC1)CCN(C(=O)Cc1cncc3ccccc13)C2,ASAP-0011408,Test,4.64,6.16,MultiTaskTutorialDataset_018,4.64,False,4.73757650037874
MultiTaskTutorialDataset_019,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(C)(=O)=O)c2cc(F)ccc2C1=O,ASAP-0011414,Test,4.07,5.84,MultiTaskTutorialDataset_019,4.07,True,5.197446462540415
MultiTaskTutorialDataset_020,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CC#N)c2cc(Cl)ccc2C1=O,ASAP-0011430,Test,5.6,7.41,MultiTaskTutorialDataset_020,5.6,True,5.372300624449382
MultiTaskTutorialDataset_021,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCOCC1)C(=O)c1ccc(F)cc12,ASAP-0011445,Test,6.52,7.54,MultiTaskTutorialDataset_021,6.52,True,5.341186881838538
MultiTaskTutorialDataset_022,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cn[nH]c1)C(=O)c1ccc(F)cc12,ASAP-0011485,Test,6.33,7.29,MultiTaskTutorialDataset_022,6.33,True,5.351318334795192
MultiTaskTutorialDataset_023,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCOCC1)C(=O)c1ccc(Cl)cc12,ASAP-0011513,Test,6.42,7.6,MultiTaskTutorialDataset_023,6.42,False,5.566633935566623
MultiTaskTutorialDataset_024,CNC(=O)[C@@H](C)N1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,ASAP-0011528,Test,6.32,7.62,MultiTaskTutorialDataset_024,6.32,True,5.124387886426085
MultiTaskTutorialDataset_025,CO[C@@H](C)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,ASAP-0012331,Test,5.86,7.11,MultiTaskTutorialDataset_025,5.86,False,5.578406025988238
MultiTaskTutorialDataset_026,CNC(=O)[C@@H](C)N1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,ASAP-0012333,Test,5.98,7.23,MultiTaskTutorialDataset_026,5.98,False,5.363617356549516
MultiTaskTutorialDataset_027,CNCCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,ASAP-0012337,Test,6.22,7.43,MultiTaskTutorialDataset_027,6.22,False,5.566244352072807
MultiTaskTutorialDataset_028,CO[C@@H](C)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,ASAP-0012339,Test,5.95,6.97,MultiTaskTutorialDataset_028,5.95,True,5.326764063336212
MultiTaskTutorialDataset_029,C=CC(=O)N1CCCc2c1cccc2N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,ASAP-0013249,Test,6.43,6.32,MultiTaskTutorialDataset_029,6.43,True,5.210714902922399
MultiTaskTutorialDataset_030,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccccc2)c2cc(Cl)ccc2C1=O,ASAP-0013265,Test,6.53,8.46,MultiTaskTutorialDataset_030,6.53,True,5.462468958242445
MultiTaskTutorialDataset_031,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cnn(C)c2)c2cc(Cl)ccc2C1=O,ASAP-0013266,Test,6.39,8.0,MultiTaskTutorialDataset_031,6.39,True,5.539512958841539
MultiTaskTutorialDataset_032,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2Cc2nn[nH]n2)c2cc(Cl)ccc2C1=O,ASAP-0013268,Test,5.0,6.33,MultiTaskTutorialDataset_032,5.0,True,5.374718354968565
MultiTaskTutorialDataset_033,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1c[nH]cn1)C(=O)c1ccc(F)cc12,ASAP-0013272,Test,6.4,7.57,MultiTaskTutorialDataset_033,6.4,True,5.337399282533932
MultiTaskTutorialDataset_034,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccn[nH]1)C(=O)c1ccc(F)cc12,ASAP-0013273,Test,6.82,7.87,MultiTaskTutorialDataset_034,6.82,True,5.353510199847809
MultiTaskTutorialDataset_035,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ncc[nH]1)C(=O)c1ccc(F)cc12,ASAP-0013274,Test,6.46,7.75,MultiTaskTutorialDataset_035,6.46,True,5.371327484410622
MultiTaskTutorialDataset_036,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccncn2)c2cc(Cl)ccc2C1=O,ASAP-0013300,Test,6.92,7.65,MultiTaskTutorialDataset_036,6.92,True,5.575351653457267
MultiTaskTutorialDataset_037,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cnccn2)c2cc(Cl)ccc2C1=O,ASAP-0013301,Test,6.46,7.09,MultiTaskTutorialDataset_037,6.46,True,5.572652620113072
MultiTaskTutorialDataset_038,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)N(C)C)c2cc(Cl)ccc2C1=O,ASAP-0013302,Test,4.59,7.43,MultiTaskTutorialDataset_038,4.59,True,5.39975581793454
MultiTaskTutorialDataset_039,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)NC)c2cc(F)ccc2C1=O,ASAP-0013303,Test,4.6,6.6,MultiTaskTutorialDataset_039,4.6,True,5.176961167797166
MultiTaskTutorialDataset_040,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cc(O)ncn1)C(=O)c1ccc(F)cc12,ASAP-0013304,Test,5.51,6.47,MultiTaskTutorialDataset_040,5.51,True,5.326139448526977
MultiTaskTutorialDataset_041,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1nc[nH]n1)C(=O)c1ccc(F)cc12,ASAP-0013305,Test,5.59,6.68,MultiTaskTutorialDataset_041,5.59,True,5.332852738612582
MultiTaskTutorialDataset_042,Cn1ccc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013306,Test,4.31,4.33,MultiTaskTutorialDataset_042,4.31,True,5.17916876151822
MultiTaskTutorialDataset_043,Cn1ccc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013307,Test,6.31,7.4,MultiTaskTutorialDataset_043,6.31,True,5.17916876151822
MultiTaskTutorialDataset_044,Cn1cnc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013308,Test,4.23,4.51,MultiTaskTutorialDataset_044,4.23,True,5.201162470316325
MultiTaskTutorialDataset_045,Cn1cnc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013309,Test,4.79,5.99,MultiTaskTutorialDataset_045,4.79,True,5.201162470316325
MultiTaskTutorialDataset_046,Cn1nnc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013310,Test,5.14,6.33,MultiTaskTutorialDataset_046,5.14,True,5.163753469243172
MultiTaskTutorialDataset_047,Cn1nnc(CN2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)n1,ASAP-0013311,Test,4.25,4.25,MultiTaskTutorialDataset_047,4.25,True,5.163753469243172
MultiTaskTutorialDataset_048,Cn1nnnc1CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,ASAP-0013312,Test,4.35,4.12,MultiTaskTutorialDataset_048,4.35,True,5.166213118622224
MultiTaskTutorialDataset_049,Cn1nnnc1CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,ASAP-0013313,Test,5.16,6.3,MultiTaskTutorialDataset_049,5.16,True,5.166213118622224
MultiTaskTutorialDataset_050,CCn1nccc1CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,ASAP-0013398,Test,6.72,7.28,MultiTaskTutorialDataset_050,6.72,True,5.3505407981284785
MultiTaskTutorialDataset_051,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2Cn2cccn2)c2cc(Cl)ccc2C1=O,ASAP-0013405,Test,5.8,6.74,MultiTaskTutorialDataset_051,5.8,True,5.433234913993579
MultiTaskTutorialDataset_052,CNCCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,ASAP-0013407,Test,5.98,6.9,MultiTaskTutorialDataset_052,5.98,True,5.317056985325162
MultiTaskTutorialDataset_053,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1c[nH]nn1)C(=O)c1ccc(F)cc12,ASAP-0013412,Test,6.37,7.31,MultiTaskTutorialDataset_053,6.37,True,5.3388532091113445
MultiTaskTutorialDataset_054,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccnn1C)C(=O)c1ccc(F)cc12,ASAP-0013413,Test,6.5,7.08,MultiTaskTutorialDataset_054,6.5,True,5.329774083011716
MultiTaskTutorialDataset_055,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cocn1)C(=O)c1ccc(F)cc12,ASAP-0013414,Test,6.9,7.46,MultiTaskTutorialDataset_055,6.9,True,5.319598053872986
MultiTaskTutorialDataset_056,Cc1cnc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)cn1,ASAP-0013423,Test,6.01,7.15,MultiTaskTutorialDataset_056,6.01,True,5.3433466801135525
MultiTaskTutorialDataset_057,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cnc(C)s2)c2cc(Cl)ccc2C1=O,ASAP-0013716,Test,5.51,8.45,MultiTaskTutorialDataset_057,5.51,True,5.503411997254894
MultiTaskTutorialDataset_058,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)NC)c2cc(Cl)ccc2C1=O,ASAP-0013717,Test,4.62,6.66,MultiTaskTutorialDataset_058,4.62,True,5.368205611009518
MultiTaskTutorialDataset_059,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2Cn2ncnn2)c2cc(Cl)ccc2C1=O,ASAP-0013718,Test,4.59,6.03,MultiTaskTutorialDataset_059,4.59,True,5.413018932141366
MultiTaskTutorialDataset_060,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC#N)C(=O)c1ccc(F)cc12,ASAP-0013719,Test,5.52,6.17,MultiTaskTutorialDataset_060,5.52,True,5.327637893729246
MultiTaskTutorialDataset_061,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1nccn1C)C(=O)c1ccc(F)cc12,ASAP-0013720,Test,5.45,6.44,MultiTaskTutorialDataset_061,5.45,True,5.302401006012465
MultiTaskTutorialDataset_062,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1nnnn1C)C(=O)c1ccc(F)cc12,ASAP-0013721,Test,5.46,6.41,MultiTaskTutorialDataset_062,5.46,True,5.319683097996192
MultiTaskTutorialDataset_063,Cc1cc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)on1,ASAP-0013722,Test,6.92,7.91,MultiTaskTutorialDataset_063,6.92,True,5.32782096023391
MultiTaskTutorialDataset_064,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2scnc2C)c2cc(Cl)ccc2C1=O,ASAP-0013814,Test,5.54,8.38,MultiTaskTutorialDataset_064,5.54,True,5.502415878103257
MultiTaskTutorialDataset_065,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2cncs2)c2cc(Cl)ccc2C1=O,ASAP-0013892,Test,6.44,8.73,MultiTaskTutorialDataset_065,6.44,True,5.4987288572388175
MultiTaskTutorialDataset_066,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCN(S(C)(=O)=O)CC1)C(=O)c1ccc(Cl)cc12,ASAP-0013898,Test,6.46,7.66,MultiTaskTutorialDataset_066,6.46,False,5.558170727721955
MultiTaskTutorialDataset_067,O=C1c2ccc(Cl)cc2[C@@]2(CN1CCN1CCOCC1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1ncccn1,ASAP-0013925,Test,6.43,7.51,MultiTaskTutorialDataset_067,6.43,True,5.802967653098325
MultiTaskTutorialDataset_068,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ccc(Cl)nn2)c2cc(Cl)ccc2C1=O,ASAP-0014544,Test,6.91,7.45,MultiTaskTutorialDataset_068,6.91,True,5.551249829621344
MultiTaskTutorialDataset_069,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccnnc1)C(=O)c1ccc(F)cc12,ASAP-0014613,Test,6.85,7.97,MultiTaskTutorialDataset_069,6.85,True,5.358000114903537
MultiTaskTutorialDataset_070,Cc1ncc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)o1,ASAP-0014619,Test,5.96,7.09,MultiTaskTutorialDataset_070,5.96,True,5.299420027074594
MultiTaskTutorialDataset_071,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCCC1=O)C(=O)c1ccc(Cl)cc12,ASAP-0014632,Test,5.67,7.01,MultiTaskTutorialDataset_071,5.67,False,5.560095048112793
MultiTaskTutorialDataset_072,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCS(=O)(=O)CC1)C(=O)c1ccc(Cl)cc12,ASAP-0014717,Test,6.5,7.72,MultiTaskTutorialDataset_072,6.5,False,5.56596391184726
MultiTaskTutorialDataset_073,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ncco1)C(=O)c1ccc(F)cc12,ASAP-0014745,Test,5.9,6.92,MultiTaskTutorialDataset_073,5.9,True,5.352778249298489
MultiTaskTutorialDataset_074,Cc1nc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)co1,ASAP-0014750,Test,7.23,8.04,MultiTaskTutorialDataset_074,7.23,True,5.314837942247984
MultiTaskTutorialDataset_075,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cnn(C)n1)C(=O)c1ccc(F)cc12,ASAP-0014753,Test,6.59,7.46,MultiTaskTutorialDataset_075,6.59,True,5.326465249988447
MultiTaskTutorialDataset_076,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1nnn(C)n1)C(=O)c1ccc(F)cc12,ASAP-0014758,Test,5.56,6.65,MultiTaskTutorialDataset_076,5.56,True,5.331430739512165
MultiTaskTutorialDataset_077,Cc1nc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(F)ccc3C2=O)no1,ASAP-0014762,Test,5.62,6.68,MultiTaskTutorialDataset_077,5.62,True,5.344408443394159
MultiTaskTutorialDataset_078,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccon1)C(=O)c1ccc(F)cc12,ASAP-0014764,Test,6.74,7.86,MultiTaskTutorialDataset_078,6.74,True,5.34966316923444
MultiTaskTutorialDataset_079,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ncn(C)n1)C(=O)c1ccc(F)cc12,ASAP-0014769,Test,5.21,6.32,MultiTaskTutorialDataset_079,5.21,True,5.3586199654017515
MultiTaskTutorialDataset_080,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccn(C)n1)C(=O)c1ccc(F)cc12,ASAP-0014770,Test,6.82,7.82,MultiTaskTutorialDataset_080,6.82,True,5.352280517635497
MultiTaskTutorialDataset_081,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1cnn(C)c1)C(=O)c1ccc(F)cc12,ASAP-0014773,Test,6.9,8.06,MultiTaskTutorialDataset_081,6.9,True,5.379209837601922
MultiTaskTutorialDataset_082,COC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccn[nH]1)C(=O)c1ccc(Cl)cc12,ASAP-0014789,Test,6.27,7.44,MultiTaskTutorialDataset_082,6.27,True,5.668696474111617
MultiTaskTutorialDataset_083,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ccncn1)C(=O)c1ccc(F)cc12,ASAP-0014794,Test,6.86,8.02,MultiTaskTutorialDataset_083,6.86,True,5.348630721277927
MultiTaskTutorialDataset_084,COC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1c[nH]cn1)C(=O)c1ccc(Cl)cc12,ASAP-0014936,Test,5.92,7.17,MultiTaskTutorialDataset_084,5.92,True,5.664425700448733
MultiTaskTutorialDataset_085,COC[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(Cc1ncc[nH]1)C(=O)c1ccc(Cl)cc12,ASAP-0014948,Test,5.98,7.32,MultiTaskTutorialDataset_085,5.98,True,5.67552935550604
MultiTaskTutorialDataset_086,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CCl)c2cc(Cl)ccc2C1=O,ASAP-0015078,Test,5.93,8.14,MultiTaskTutorialDataset_086,5.93,True,5.397564958304548
MultiTaskTutorialDataset_087,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCC3(COC3)C1)C(=O)c1ccc(Cl)cc12,ASAP-0015092,Test,6.5,7.57,MultiTaskTutorialDataset_087,6.5,False,5.593380666559288
MultiTaskTutorialDataset_088,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2ncncn2)c2cc(Cl)ccc2C1=O,ASAP-0015108,Test,7.14,7.96,MultiTaskTutorialDataset_088,7.14,True,5.53724331281617
MultiTaskTutorialDataset_089,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CNc2nncs2)c2cc(Cl)ccc2C1=O,ASAP-0015239,Test,7.25,8.16,MultiTaskTutorialDataset_089,7.25,True,5.534126857133911
MultiTaskTutorialDataset_090,C[C@@H]1COC[C@@H](C)N1CCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,ASAP-0015376,Test,6.45,7.85,MultiTaskTutorialDataset_090,6.45,False,5.602776581086353
MultiTaskTutorialDataset_091,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCOC(C)(C)C1)C(=O)c1ccc(Cl)cc12,ASAP-0015508,Test,6.51,7.43,MultiTaskTutorialDataset_091,6.51,False,5.52396365598314
MultiTaskTutorialDataset_092,C[C@@H]1COC[C@H](C)N1CCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,ASAP-0015512,Test,5.92,7.28,MultiTaskTutorialDataset_092,5.92,False,5.602776581086353
MultiTaskTutorialDataset_093,C[C@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)CCO1,ASAP-0015514,Test,6.45,7.57,MultiTaskTutorialDataset_093,6.45,False,5.577167024226499
MultiTaskTutorialDataset_094,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COC2CCC2)c2cc(Cl)ccc2C1=O,ASAP-0015648,Test,5.94,8.18,MultiTaskTutorialDataset_094,5.94,True,5.419446348738072
MultiTaskTutorialDataset_095,C[C@@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)[C@H](C)CO1,ASAP-0015656,Test,6.92,7.85,MultiTaskTutorialDataset_095,6.92,False,5.621152898206008
MultiTaskTutorialDataset_096,C[C@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)[C@@H](C)CO1,ASAP-0015657,Test,6.74,7.87,MultiTaskTutorialDataset_096,6.74,False,5.621152898206008
MultiTaskTutorialDataset_097,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CC(F)(F)C1)C(=O)c1ccc(Cl)cc12,ASAP-0015660,Test,6.67,7.95,MultiTaskTutorialDataset_097,6.67,False,5.586236701968807
MultiTaskTutorialDataset_098,C[C@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)C[C@H](C)O1,ASAP-0015663,Test,6.57,7.61,MultiTaskTutorialDataset_098,6.57,False,5.579066227688304
MultiTaskTutorialDataset_099,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1C[C@H]3CC[C@H](C1)O3)C(=O)c1ccc(Cl)cc12,ASAP-0015666,Test,6.47,7.66,MultiTaskTutorialDataset_099,6.47,False,5.579153739829102
MultiTaskTutorialDataset_100,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1C[C@H]3COC[C@H]3C1)C(=O)c1ccc(Cl)cc12,ASAP-0015669,Test,6.65,7.79,MultiTaskTutorialDataset_100,6.65,False,5.594017213882957
MultiTaskTutorialDataset_101,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1C[C@H]3C[C@@H]1CO3)C(=O)c1ccc(Cl)cc12,ASAP-0015672,Test,6.71,7.89,MultiTaskTutorialDataset_101,6.71,False,5.606800168645763
MultiTaskTutorialDataset_102,C[C@@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)CCO1,ASAP-0015677,Test,6.72,7.64,MultiTaskTutorialDataset_102,6.72,False,5.577167024226499
